"anonym_id","duration..in.seconds.","finished","recordeddate","dismiss_1","research_stage","q22","q22_6_text","feeling_stage_1","feeling_stage_2","feeling_stage_3","feeling_stage_4","feeling_stage_5","feeling_stage_6","feeling_stage_7","feeling_stage_8","feeling_stage_9","feeling_stage_10","feeling_stage_11","feeling_stage_12","feeling_stage_13","feeling_stage_14","feeling_stage_15","feeling_stage_16","feeling_stage_17","feeling_stage_18","feeling_stage_19","feeling_stage_20","cause_stage","feeling_general_1","cause_general","category_of_work","position","area","gender","age","country","country_other"
16,"246",TRUE,"2025-04-07 17:36:58","Yes","Data collection","","","5","0","3","2","1","3","0","1","2","0","2","2","3","2","3","2","0","0","0","0","Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists.","2","Enjoy discovering new facts","Lab/online research","Full professor","Life sciences","Man","63","United Kingdom of Great Britain and Northern Ireland",""
17,"2562",TRUE,"2025-04-08 01:48:48","Yes","Report writing","","","3","5","7","7","7","7","7","7","5","7","0","0","0","0","0","0","0","0","0","0","The sense of achievement and joy brought by scientific research.","3","Enjoy conducting research","Lab/online research","Associate professor","Social sciences","Man","35","China",""
18,"346",TRUE,"2025-04-08 04:22:19","Yes","Data collection","","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","It is interesting to interact with study participants and hear their thoughts about the topic of study.","1","stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load ","Clinical research","Full professor","Health sciences","Woman","52","United States of America",""
19,"321",TRUE,"2025-04-08 13:44:11","Yes","Report writing","","","6","1","4","3","3","0","2","2","0","3","3","2","2","0","6","5","1","0","5","5","Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)","-2","continuously too much work and byrocracy","Clinical research","Full professor","Health sciences","Man","58","Finland",""
20,"216",TRUE,"2025-04-09 05:12:57","Yes","Waiting for journal's response and revisions","","","5","4","4","5","4","4","4","5","5","4","2","1","1","1","2","1","1","1","1","1","-","1","Flexible working hours","Field research","Full professor","Health sciences","Man","39","China",""
21,"804",TRUE,"2025-04-16 23:36:27","Yes","Revisions","","","3","0","3","1","1","1","0","0","0","0","7","0","5","7","7","0","7","7","7","7","Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections.","-2","Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals.","Lab/online research","Postdoc","Health sciences","Woman","35","United States of America",""
22,"1209",FALSE,"2025-05-07 09:51:57","Yes","Report writing","","","3","0","3","0","1","4","2","0","0","3","0","0","0","2","2","0","0","0","0","0","I think contentment is my driver in the frustrating proces of analyzing, writing and discussing the findings of my field research. I have too little time to be in the process and deepen my thoughts and insights, so I often use weekends or evenings. That makes me feel unefficient and it also makes me feel a bad mom, because I take time I could have used with my family. I think contentment is my motivator or driver, because I like to think that the purpose is higher than my personal sacrifice. ","1","I like gaining insight into new domains and deepening my knowledge","Field research","Assistant professor","Health sciences","Woman","52","Denmark",""
23,"119",FALSE,"2025-05-07 10:09:06","Yes","Waiting for journal's response and revisions","","","","","","","","","","","","","","","","","","","","","","","","1","Relationship with supervisor","Lab/online research","Assistant professor","Physical sciences","Man","33","India",""
24,"189",TRUE,"2025-11-26 10:50:49","Yes","Report writing","","","5","2","6","4","3","2","0","5","7","1","0","0","3","0","1","0","0","0","7","7","I was super pissed with my co-authors because they didnt do their part and everything was on me","2","I love my job but i am stressed of not having a permanent position","Lab/online research","Postdoc","Social sciences","Woman","40","Austria",""
25,"154",TRUE,"2025-11-26 11:13:14","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","3","1","2","1","2","1","1","3","0","0","4","3","6","5","4","0","0","2","4","Shame because I feel like I should be further with it and I'm not working fast and efficient enough","-1","I do not enjoy the publication process and the high degree of rigorosity in academia","Lab/online research","PhD student","Social sciences","Woman","24","Austria",""
26,"271",TRUE,"2025-11-26 11:14:02","Yes","Data analysis","","","6","3","4","4","4","5","1","0","4","3","4","5","5","4","4","2","0","0","0","2","interest -- curious about the results","1","satisfaction from scientific worked mixed with feelings of inadequacy and anxiety","Lab/online research","Postdoc","Social sciences","Woman","33","Austria",""
27,"314",TRUE,"2025-11-26 11:16:41","Yes","Data analysis","","","5","2","5","5","5","4","0","0","1","0","4","2","2","0","2","3","0","2","2","4","Successfully running code, completing an analysis and seeing the 'fruits' of the whole research process. ","2","I am very grateful working in such an enthusiastic environment and being able to pursue a topic that I am passionate about.","Lab/online research","PhD student","Life sciences","Man","30","Austria",""
28,"431",TRUE,"2025-11-26 11:22:56","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","1","1","2","2","2","0","0","3","1","4","4","3","3","5","1","1","1","1","5","Anger and Disappointment comes closest but doesn't quite fit - more frustrated or annoyed because things were slower and less collaborative than expected","-1","uncertainty, pressure, lack of recognition, lack of useful output / relevance","Clinical research","PhD student","Health sciences","Non-binary / third gender / gender non-conforming","31","Austria",""
29,"270",TRUE,"2025-11-26 11:24:27","Yes","Data analysis","","","5","5","3","4","4","4","1","2","1","1","3","3","2","2","5","4","1","2","2","2","null findings, very prolonged process ","1","intersting, challenging","Lab/online research","PhD student","Social sciences","Woman","27","Austria",""
30,"928",TRUE,"2025-11-26 11:49:06","Yes","Waiting for journal's response and revisions","","","0","0","0","3","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","Relief: because I finalised a major and challenging revision, and I think I did a great job.","2","I love science! Passion-driven","Lab/online research","Postdoc","Social sciences","Woman","29","Germany",""
31,"1395",TRUE,"2025-11-26 11:52:34","Yes","Data analysis","","","7","3","3","6","6","6","4","4","6","6","0","0","0","0","0","1","0","0","0","0","","3","","Lab/online research","Postdoc","Social sciences","Man","42","Austria",""
32,"360",TRUE,"2025-11-26 12:35:45","Yes","Report writing","","","6","0","5","4","5","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","Writing things up is a continuous process of discovering insights that make one interested in the work","1","The mix of freedom of knowledge pursuit and anxiety about outcomes (and job prospect)","Lab/online research","PhD student","Social sciences","Man","30","Austria",""
33,"5504",TRUE,"2025-11-26 12:50:45","Yes","Revisions","","","6","4","5","6","6","6","1","1","3","3","0","0","0","0","2","3","0","0","0","0","","3","","Lab/online research","Full professor","Social sciences","Man","51","Austria",""
34,"148",TRUE,"2025-11-26 13:31:41","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","7","4","0","6","6","5","0","0","0","6","0","0","2","0","0","0","0","0","0","0","","1","academic work pressure and low job security","Lab/online research","Postdoc","Social sciences","Woman","34","Netherlands",""
35,"418",TRUE,"2025-11-26 15:42:43","Yes","Report writing","","","6","5","7","7","7","7","4","5","5","3","0","1","0","1","0","0","0","0","0","0","I felt really proud, as this is the first paper on a research line that I wanted to pursue for a long time and which has taken quite some effort and time to get to. ","2","I love most parts of being a researcher, which is really something I feel belongs to me","Clinical research","Associate professor","Social sciences","Woman","49","Netherlands",""
36,"133",TRUE,"2025-11-26 16:02:42","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","4","2","5","4","3","1","2","2","4","1","2","2","1","2","2","1","1","1","3","Time pressure","0","Ups and downs","Lab/online research","Associate professor","Life sciences","Man","42","Germany",""
37,"410",TRUE,"2025-11-26 16:38:19","Yes","Data collection","","","7","5","0","5","0","5","0","7","5","6","0","0","3","4","4","4","0","3","0","2","On one hand, enjoying the data collection process and seeing how things that I had planned start to materialise make me feel excited and happy. On the other, not everything works out, I do not have access to all the people and spaces I would like to, and that makes me feel a bit scared of not being able to complete my project, or not with the quality I would like to, and also make me feel that I might be the problem because I do not know how to approach some of the people.","3","I have great colleagues and a great team, I like what I am doing and I think my work can have a very small but also relevant impact.","Field research","PhD student","Social sciences","Woman","34","Netherlands",""
38,"129",TRUE,"2025-11-26 16:51:59","Yes","Project genesis/ first thoughts/ idea creation","","","6","4","4","6","4","4","0","0","0","0","6","0","5","0","3","0","0","0","0","6","","2","I don't want to do other things","Lab/online research","Assistant professor","Social sciences","Woman","34","Netherlands",""
39,"358",TRUE,"2025-11-26 16:59:18","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","2","5","3","3","3","5","3","4","2","0","5","1","4","2","0","0","2","0","5","","1","Lack of time ","Lab/online research","Assistant professor","Social sciences","Woman","35","Turkey",""
40,"204",TRUE,"2025-11-26 17:44:24","Yes","Data collection","","","6","0","7","6","5","6","0","5","5","0","1","1","1","1","1","3","1","1","1","3","Pride, because my students are doing an amazing work during data collection. It feels like all the supervision paid off, as they are becoming more independent","2","Great work environment, great supervisor, nce colleagues, good work-life balance","Lab/online research","Postdoc","Life sciences","Woman","35","Germany",""
41,"277",TRUE,"2025-11-26 17:49:21","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","4","2","4","1","1","2","0","1","2","4","2","2","2","2","2","3","0","3","0","1","I feel compassion about my work and pride that I have the strength to push the project further","-1","unequality, lack of appreciation","Clinical research","Postdoc","Life sciences","Woman","41","Germany",""
42,"344",TRUE,"2025-11-26 18:00:31","Yes","Data collection","","","7","6","7","6","5","5","5","0","0","0","2","0","0","0","0","1","2","1","0","3","Pride because i have started data collection for my first project not too long ago & just checked if the data looks okay (made some simple plots) & it looks really good :)","-1","I live in a foreign country & very much miss my social circle + the outlook on the job market as a researcher is horrible.","Lab/online research","PhD student","Social sciences","Woman","30","Germany",""
43,"451",TRUE,"2025-11-26 18:47:31","Yes","Report writing","","","3","2","1","2","0","0","0","1","4","4","6","6","1","3","4","7","0","5","0","6","Fear was the feeling I felt most intensely because I was working under a tight deadline, and felt like I had no right to ask for help from my co-authors. Sometimes I didn't know if what I wrote was what the journal asked for, or made sense for the paper. Feedback I received from my principal investigator was sometimes vague or frustrating, and again, I had to work on writing under very tight deadlines","3","I feel so lucky to be able to help conduct research. I'm incredibly passionate about it and hope to make a career with it","Lab/online research","Research assistant","Social sciences","Non-binary / third gender / gender non-conforming","24","United States of America",""
44,"216",TRUE,"2025-11-26 19:47:46","Yes","Report writing","","","6","3","2","4","4","0","0","1","2","0","6","0","0","0","1","6","1","0","2","3","","-1","A bad relation to my supervisor","Clinical research","PhD student","Social sciences","Woman","32","Denmark",""
45,"248",TRUE,"2025-11-26 20:08:46","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","4","5","4","4","6","3","6","2","5","1","7","5","2","4","3","1","4","1","1","","3","I like research","Lab/online research","PhD student","Life sciences","Woman","31","United Kingdom of Great Britain and Northern Ireland",""
46,"197",TRUE,"2025-11-26 20:23:01","Yes","Data collection","","","7","5","7","6","5","6","6","5","4","5","0","0","0","0","1","0","0","0","0","0","","2","I can do what I love to do","Clinical research","PhD student","Health sciences","Woman","32","Germany",""
47,"1568",TRUE,"2025-11-26 21:27:49","Yes","Report writing","","","6","5","7","5","5","5","6","6","4","5","5","5","6","6","5","7","6","6","1","6","As a first-author, having the pressure of getting the manuscript finished in a timely manner","1","A lot of pressure","Lab/online research","Research assistant","Physical sciences","Woman","22","United States of America",""
48,"425",TRUE,"2025-11-26 21:46:17","Yes","Project genesis/ first thoughts/ idea creation","","","6","3","4","4","2","4","3","3","2","2","1","2","2","0","1","5","1","2","1","1","Promise to reach the research goals by year end. This creates the sense of urgency and the fear of failure to underperform.","2","Grant writing on own ideas","Clinical research","Postdoc","Life sciences","Man","38","Germany",""
49,"1550",TRUE,"2025-11-26 22:56:51","Yes","Report writing","","","7","3","5","4","4","3","1","0","7","0","0","0","0","0","0","0","0","0","0","0","I chose ""relief"". The study began in 2021. In the meantime, I changed my workplace and research topic. As a first author, I felt relieved when I finally finished all the analyses and submitted the manuscript this month. ","1","Negatives: Still being a postdoc with two or three-year contracts and not being eligible to apply for some good grants because of not having a tenure track or permanent position. Being late to start a family because of prioritizing research. Positives: Being exposed to different research environments, meeting colleagues from all over the world, publishing, and supervising students.","Lab/online research","Postdoc","Life sciences","Woman","36","Netherlands",""
50,"344",TRUE,"2025-11-27 08:39:40","Yes","Report writing","","","6","4","5","5","5","5","3","3","0","0","4","0","0","0","2","2","0","0","0","0","Interest: I am genuinely interested in the research that I do (and a lot of research areas in general). I am curious about what I can find in the data and how I can present it in a way to peers that it is easily understandable and transparent.","2","The freedom to conduct research and work on topics and issues that I feel are relevant and interesting. However, I was blessed with a very safe and stable research environment (interpersonally and financially) and my overall feeling will very likely change once this opportunity runs out.","Lab/online research","PhD student","Social sciences","Man","35","Austria",""
51,"392",TRUE,"2025-11-27 08:40:01","Yes","Data analysis","","","7","2","5","4","3","4","0","1","3","0","5","6","6","5","4","2","0","0","0","2","Interest - it is a cool project and I am genuinely curious to make this work and to figure out the answer to the rq","1","I like research and being able to do this for a living is pretty great","Lab/online research","Associate professor","Social sciences","Woman","40","Netherlands",""
52,"324",TRUE,"2025-11-27 08:57:26","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","3","2","5","4","2","3","0","1","1","0","3","5","5","6","4","5","0","0","2","2","Shame, because I have the feeling to work not as swift and good as anybody else in my group","1","I am very happy that I have the opportunity to contribute to a higher cause, but somethimes its frustrating how little appreciation and salery one recieves for so many years of training","Clinical research","Postdoc","Health sciences","Man","39","Germany",""
53,"308",TRUE,"2025-11-27 08:59:08","Yes","Data analysis","","","2","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","","1","i like the work and am proud of this identity","Clinical research","Postdoc","Health sciences","Woman","37","Germany",""
54,"248",TRUE,"2025-11-27 10:06:14","Yes","Data collection","","","6","3","6","3","3","5","1","4","3","6","6","5","4","2","5","6","1","1","1","1","compassion, Dealing with young people who have undergone through an irrevirsible injury made me feel empathy for their struggles and keep them in mind long after the session was concluded.","2","Interest, motivation and supporting environment","Clinical research","PhD student","Health sciences","Man","38","Israel",""
55,"287",TRUE,"2025-11-27 11:14:55","Yes","Data collection","","","7","6","7","4","0","4","6","0","5","6","0","4","0","0","0","0","0","0","0","0","I am learning many new techniques and I learn them quickly and efficiently","2","I want to gain a deeper understanding of animals and my research helps me do so","Lab/online research","Postdoc","Life sciences","Non-binary / third gender / gender non-conforming","40","Belgium",""
56,"269",TRUE,"2025-11-27 11:30:24","Yes","Data analysis","","","5","2","1","1","0","0","0","1","3","0","2","1","2","3","2","4","0","2","0","3","tension with senior collaborators and supervisors over being told to engage in questionable research practices","2","engaging in the process of knowledge generation is a privilege and the different components of the work are interesting to carry out","Clinical research","PhD student","Health sciences","Man","30","United Kingdom of Great Britain and Northern Ireland",""
57,"173",TRUE,"2025-11-27 11:48:19","Yes","Revisions","","","5","3","6","5","4","6","0","0","5","5","2","0","0","0","2","1","0","0","0","2","Pride and contentment because we received an R&R at a top journal. ","3","I love exploring new things and being able to work on topics that I am passionate about. I also really enjoy the autonomy of this work and the recognition that you receive for it. ","Field research","Assistant professor","Social sciences","Man","35","Netherlands",""
58,"170",TRUE,"2025-11-27 11:49:07","Yes","Data collection","","","4","4","5","3","3","4","0","0","2","0","2","0","0","0","5","0","0","0","0","0","Disappointment: Low participation numbers.
Pride: Happy to have gotten to this stage.","2","Happy to be able to do what I do; general contentment.","Lab/online research","PhD student","Social sciences","Man","28","Netherlands",""
59,"1581",TRUE,"2025-11-27 13:29:04","Yes","Data collection","","","5","4","5","2","2","2","1","1","3","3","5","0","4","0","4","0","0","0","0","4","Interest & Pride: Since the research question and study in general is interesting, I felt these feelings while data acquisition.

Sadness: Since the data acquisition included a lot of time effort and working late (partially until 9/10pm) and on weekends, I occasionally was sad not to be with my beloved wife during these times and because I felt she was sad about my working hours, too.","2","I think research is an important thing and I am happy and proud to be a researcher and with that a part of it.","Lab/online research","Postdoc","Health sciences","Man","35","Germany",""
60,"191",TRUE,"2025-11-27 14:01:14","Yes","Data collection","","","6","0","2","6","4","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","Joy about data being collected; interest in seeing the results at a later stage","2","Academic freedom","Lab/online research","Assistant professor","Social sciences","Woman","40","Netherlands",""
61,"293",TRUE,"2025-11-27 15:27:01","Yes","Report writing","","","7","7","7","7","5","0","3","3","4","3","0","5","1","0","0","5","0","0","0","1","interest - in seeing how the project is coming together","2","enjoying research","Field research","Non-academic researcher","Social sciences","Woman","35","Netherlands",""
62,"429",TRUE,"2025-11-27 15:38:00","Yes","Data collection","","","4","5","2","3","3","2","3","2","1","2","2","3","2","2","2","4","1","2","1","1","The most intense feeling for me was amusement, which has to do with data collection setting and practicalities: It is quite fun and a unique experience/environment.","-2","Career stage (first year PhD, things feel chaotic and a lot is new)","Field research","PhD student","Social sciences","Woman","31","Netherlands",""
63,"256",TRUE,"2025-11-27 16:53:48","Yes","Report writing","","","5","2","4","2","1","3","1","2","2","3","5","2","3","1","3","2","4","3","5","6","Intense work","2","Family support ","Lab/online research","Postdoc","Life sciences","Man","30","Turkey",""
64,"684",TRUE,"2025-11-27 17:12:01","Yes","Data collection","","","4","4","6","4","5","4","3","3","5","6","1","0","2","0","3","4","0","0","0","0","Compassion: I feel my research ""came alive"" when data collection started. It feels that this is something that I created and I deeply take care about every single bits of it, even if it is not perfect and brings negative emotions. Whatever negative happens, the motivation to care about it immediately regenerates.","3","My supervisor is a very nice person, compassionate and professional, who takes care about the research, but also about me. Having the enthusiasm to find something new and change the world, and deeply sharing these feelings with someone makes me feel extremely happy and powerful.","Lab/online research","PhD student","Social sciences","Woman","26","Netherlands",""
65,"12590",TRUE,"2025-11-27 21:16:49","Yes","Report writing","","","6","0","4","3","3","4","2","2","0","0","1","2","0","0","0","0","0","1","0","1","High interest as almost a default feeling from being able to choose the topic and research approach, rather than being told what to do","2","My being a researcher comes from an intrinsic interest and passion for the topic I study and for wanting to learn. I think having an internal motivation to do research is key to having a positive experience","Lab/online research","PhD student","Social sciences","Woman","28","Canada",""
66,"205",TRUE,"2025-11-28 09:23:13","Yes","Report writing","","","4","2","4","2","2","2","3","4","1","3","2","1","3","1","3","5","0","0","0","0","Fear (or stress, I would say), that my work is not good enough and that I will never be done writing","2","I just really enjoy this work, the creativity, reflecting, observing","Field research","PhD student","Social sciences","Woman","28","Netherlands",""
67,"169",TRUE,"2025-11-28 10:15:06","Yes","Report writing","","","3","2","4","3","3","3","2","2","3","2","2","1","1","1","1","1","1","1","1","1","","1","","Lab/online research","Postdoc","Social sciences","Man","42","Germany",""
68,"282",TRUE,"2025-11-28 10:19:33","Yes","Data analysis","","","4","5","5","3","4","4","5","5","4","6","2","0","1","0","2","4","0","1","1","3","","-1","My loneliness entangling with a line of worke directly consuming mental energy","Lab/online research","Other","Life sciences","Man","27","Iran",""
69,"292",TRUE,"2025-11-28 10:25:19","Yes","Waiting for journal's response and revisions","","","0","0","0","0","0","0","0","0","5","0","1","1","1","4","0","7","0","0","0","0","My paper has been desk-rejected from two other journals. Currently, the paper is not out for review yet but has been with the editor, so this could mean that the paper is still at risk of a desk reject weeks after it was submitted. It is based on a key chapter in my dissertation, which explains the sense of shame that is attached to the high level of fear.","1","freedom to work how/when/where I want, but the freedom comes with the price of having to work whenever and wherever (i.e., bad work-life balance, high work pressure)","Field research","Assistant professor","Social sciences","Woman","33","Netherlands",""
70,"397",TRUE,"2025-11-28 10:33:16","Yes","Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Accepted but not yet published","","0","0","3","5","1","4","2","0","6","0","4","1","0","0","1","0","0","0","0","2","I think relief was the most intense feeling, and the cause was that I could finally rest from dedicating so much effort (this paper took a lot of effort and time)","-1","I'm overloaded with work, teaching duties leave little time for research, and I feel I have to dedicate too much time to things that are not directly research itself (e.g. submission systems, self promotion, etc.)","Lab/online research","Assistant professor","Social sciences","Man","44","Spain",""
71,"556",TRUE,"2025-11-28 11:02:35","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","6","1","3","4","5","2","0","2","5","3","1","5","3","0","1","2","0","0","0","0","The projects that I am currently preparing are associated with master theses that I am supervising. Coordinating my own work while being responsible for others has been stressful but also rewarding ","2","I just like the job. ","Lab/online research","PhD student","Life sciences","Non-binary / third gender / gender non-conforming","29","United Kingdom of Great Britain and Northern Ireland",""
72,"288",TRUE,"2025-11-28 14:15:02","Yes","Report writing","","","5","2","3","3","2","2","4","3","1","4","5","6","6","5","6","7","5","4","5","4","Burn out, fear of failure to meet the deadline","-2","Constant fear of missing deadlines, a lot of projects to work on.","Lab/online research","Other","Social sciences","Woman","25","Slovenia",""
73,"476",TRUE,"2025-11-28 14:43:43","Yes","Report writing","","","5","4","6","5","6","5","5","5","2","2","1","7","1","4","1","6","1","0","1","1","The guilt is the most intense feeling I am facing during this period because I experience delays in my work which affect not only my work but the work of the entire team, and I have to consider everyone time and schedules in order to compensate for the lost time.","2","I feel valued by my research community. I feel like I find 'my type of people' with aligned interests and capabilities. I feel seen. I","Lab/online research","Associate professor","Social sciences","Woman","46","","North Macedonia"
74,"535",TRUE,"2025-11-28 14:53:47","Yes","Report writing","","","2","1","2","1","1","1","0","2","1","4","1","4","4","1","1","6","1","1","4","2","The main cause is fear that I will not be able to complete the work on time ","0","I am a researcher because I like research, but that's the only reason.","Lab/online research","PhD student","Social sciences","Woman","37","United States of America",""
75,"1721",TRUE,"2025-11-28 22:27:28","Yes","Project genesis/ first thoughts/ idea creation","","","7","2","3","0","4","4","0","1","3","0","1","2","3","3","5","5","0","0","0","0","I rated fear as 5, because if I don’t get this grant I don’t know what is going to happen with my career and I may not be able to stay in this country","1","I love doing research, but I hate all the other things that come with it","","Associate professor","Social sciences","Woman","40","United States of America",""
76,"152",TRUE,"2025-11-29 06:31:49","Yes","Report writing","","","6","3","6","2","2","4","2","3","4","0","3","6","1","6","2","0","0","0","0","0","","2","","Lab/online research","Associate professor","Health sciences","Woman","46","United States of America",""
77,"215",TRUE,"2025-11-29 16:55:24","Yes","Preparations (IRB permit, preregistration, experiment preparations)","","","5","3","3","3","3","3","1","1","1","0","1","0","0","0","0","6","0","0","1","3","Institutional Review Board overreach","2","I enjoy doing research ","Lab/online research","Postdoc","Social sciences","Man","34","Canada",""
