StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,dismiss_1,research_stage,Q22,Q22_6_TEXT,feeling_stage_1,feeling_stage_2,feeling_stage_3,feeling_stage_4,feeling_stage_5,feeling_stage_6,feeling_stage_7,feeling_stage_8,feeling_stage_9,feeling_stage_10,feeling_stage_11,feeling_stage_12,feeling_stage_13,feeling_stage_14,feeling_stage_15,feeling_stage_16,feeling_stage_17,feeling_stage_18,feeling_stage_19,feeling_stage_20,cause_stage,feeling_general_1,cause_general,category_of_work,position,area,gender,age,country,country_other
2025-04-07 11:30:49,2025-04-07 11:34:32,IP Address,100,222,True,2025-04-07 11:34:32,R_2Vdoq8V5nfxzkvi,email,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,waste of time,2,liberty,Lab/online research,Full professor,Health sciences,Man,64,France,
2025-04-07 13:42:06,2025-04-07 13:46:58,IP Address,100,291,True,2025-04-07 13:46:58,R_7Jpw9qwSyB1xqCd,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,7,0,4,0,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,"Preparing a project for submission is always intellectually rewarding. Most of the feelings listed above (such as love, hate, disgust, etc.) do not describe at all feelings that I can have about my work.",2,"Intellectually and socially stimulating, enriching and interesting",Lab/online research,Non-academic researcher,Life sciences,Man,55,France,
2025-04-07 13:41:10,2025-04-07 13:48:03,IP Address,100,413,True,2025-04-07 13:48:04,R_9KuJPsAy631gCXK,email,EN,Yes,Waiting for journal's response and revisions,,,2,1,2,2,1,1,2,0,2,0,5,2,1,0,4,3,1,0,4,5,I am sad because I feel that my work may be not good enough and the publication process takes too much time while I can only wait,-1,"Little academic support from supervisor, long time for publication",Lab/online research,Research assistant,Social sciences,Woman,25,China,
2025-04-07 14:41:41,2025-04-07 14:45:56,IP Address,100,254,True,2025-04-07 14:45:57,R_9NeqSA8RE9cMDFq,email,EN,Yes,Project genesis/ first thoughts/ idea creation,,,2,0,0,0,1,2,0,0,0,0,4,2,5,3,5,7,4,5,2,4,"Fear of having to lead more work as others are not performing to an already very heavy workload I have, and due to the pressure to constantly say 'yes' in academia",-1,"Overwork, unreasonable expectations, doing the job of multiple people",Lab/online research,Postdoc,Health sciences,Woman,36,Australia,
2025-04-07 14:16:19,2025-04-07 14:50:43,IP Address,100,2064,True,2025-04-07 14:50:43,R_23rMkicjAEPBfpv,email,EN,Yes,Report writing,,,7,0,3,1,1,1,0,1,4,0,3,0,0,0,2,0,0,0,0,0,Lonliness as my intense work can't be shared with my  co-investigators or friends,-2," sleep deprivation  Lack of social life and detached from family",Clinical research,Associate professor,Health sciences,Man,56,Egypt,
2025-04-07 15:00:57,2025-04-07 15:04:31,IP Address,100,213,True,2025-04-07 15:04:31,R_71RGZ3VgJ7K2fOM,email,EN,Yes,Data collection,,,6,3,5,3,4,4,1,2,2,3,3,3,4,2,3,3,2,0,0,1,"""Interest"" was the most intense feeling, and I believe this was due to excitement over a new, meaningful research project.",2,I enjoy conducting research and see its value.,Clinical research,Associate professor,Life sciences,Man,34,United States of America,
2025-04-07 16:06:46,2025-04-07 16:13:33,IP Address,100,407,True,2025-04-07 16:13:34,R_501yOv0vlL69dBy,email,EN,Yes,"Reality check (e.g., literature search, consultation with colleagues)",,,4,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,"I'm interested in the work and take pride in it, but I often wonder what if any real-world applications it will have and if it has any meaning at all outside of academics, which gives me contempt for the project. I then feel guilty about pursuing a project for which I doubt its usefulness, and also for having negative thoughts about the work and my collaborators.",2,"Sense of accomplishment, freedom to choose what I work on, satisfaction from solving difficult problems ",Lab/online research,Postdoc,Life sciences,Woman,33,United States of America,
2025-04-07 17:32:51,2025-04-07 17:36:57,IP Address,100,246,True,2025-04-07 17:36:58,R_60ubsBP7WFFMlfb,email,EN,Yes,Data collection,,,5,0,3,2,1,3,0,1,2,0,2,2,3,2,3,2,0,0,0,0,Hopeful idea not panning out. Maybe you need to add frustration to your list of emotions. I think that is a major one for scientists.,2,Enjoy discovering new facts,Lab/online research,Full professor,Life sciences,Man,63,United Kingdom of Great Britain and Northern Ireland,
2025-04-08 01:06:04,2025-04-08 01:48:47,IP Address,100,2562,True,2025-04-08 01:48:48,R_4knP3icyDIk63xY,email,EN,Yes,Report writing,,,3,5,7,7,7,7,7,7,5,7,0,0,0,0,0,0,0,0,0,0,The sense of achievement and joy brought by scientific research.,3,Enjoy conducting research,Lab/online research,Associate professor,Social sciences,Man,35,China,
2025-04-08 04:16:32,2025-04-08 04:22:19,IP Address,100,346,True,2025-04-08 04:22:19,R_1nT6Oim7qOPjXeg,email,EN,Yes,Data collection,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It is interesting to interact with study participants and hear their thoughts about the topic of study.,1,"stress regarding funding, politics of research, slow pace of research, insufficient resources, never truly on vacation, cognitive load ",Clinical research,Full professor,Health sciences,Woman,52,United States of America,
2025-04-08 13:38:49,2025-04-08 13:44:10,IP Address,100,321,True,2025-04-08 13:44:11,R_8eUXkmSHtKYhYqy,email,EN,Yes,Report writing,,,6,1,4,3,3,0,2,2,0,3,3,2,2,0,6,5,1,0,5,5,"Anger and frustration with the work for several reasons (byrocracy, lack of resources and help, regulatory matters, lack of skilled people)",-2,continuously too much work and byrocracy,Clinical research,Full professor,Health sciences,Man,58,Finland,
2025-04-09 05:09:20,2025-04-09 05:12:56,IP Address,100,216,True,2025-04-09 05:12:57,R_4kNtI999D9g0GaN,email,EN,Yes,Waiting for journal's response and revisions,,,5,4,4,5,4,4,4,5,5,4,2,1,1,1,2,1,1,1,1,1,-,1,Flexible working hours,Field research,Full professor,Health sciences,Man,39,China,
2025-04-16 23:23:01,2025-04-16 23:36:25,IP Address,100,804,True,2025-04-16 23:36:27,R_1lbj0mwMLLB2bwD,email,EN,Yes,Revisions,,,3,0,3,1,1,1,0,0,0,0,7,0,5,7,7,0,7,7,7,7,"Having peer reviewers making absurd, nonsensical, uneducated comments (e.g., ""Were race, gender, and LGBT status self-reported? This can lead to bias."" Self-report is the only way to measure these constructs. There is no way to objectively measure LGBT status! Are we supposed to be observing sexual behavior in people's bedrooms?), and having idiotic editors back them up, leading to unfair rejections.

Not getting a job because of sexism and bias towards other candidates due to close personal connections.",-2,"Huge funding cuts. Lots of (often unfair) rejection despite tons of hard work. Idiosyncratic, heavily flawed system of peer review and for-profit bloodsucking journals.",Lab/online research,Postdoc,Health sciences,Woman,35,United States of America,
2025-04-07 09:31:43,2025-04-07 09:51:52,IP Address,94,1209,False,2025-05-07 09:51:57,R_5oyxvR3obMcs65k,email,EN,Yes,Report writing,,,3,0,3,0,1,4,2,0,0,3,0,0,0,2,2,0,0,0,0,0,"I think contentment is my driver in the frustrating proces of analyzing, writing and discussing the findings of my field research. I have too little time to be in the process and deepen my thoughts and insights, so I often use weekends or evenings. That makes me feel unefficient and it also makes me feel a bad mom, because I take time I could have used with my family. I think contentment is my motivator or driver, because I like to think that the purpose is higher than my personal sacrifice. ",1,I like gaining insight into new domains and deepening my knowledge,Field research,Assistant professor,Health sciences,Woman,52,Denmark,
2025-04-07 10:07:06,2025-04-07 10:09:05,IP Address,81,119,False,2025-05-07 10:09:06,R_4rfmg5ADfAtMW6B,email,EN,Yes,Waiting for journal's response and revisions,,,,,,,,,,,,,,,,,,,,,,,,1,Relationship with supervisor,Lab/online research,Assistant professor,Physical sciences,Man,33,India,
2025-11-26 10:47:39,2025-11-26 10:50:49,IP Address,100,189,True,2025-11-26 10:50:49,R_2M5qoZhvMV1c5rH,anonymous,EN,Yes,Report writing,,,5,2,6,4,3,2,0,5,7,1,0,0,3,0,1,0,0,0,7,7,I was super pissed with my co-authors because they didnt do their part and everything was on me,2,I love my job but i am stressed of not having a permanent position,Lab/online research,Postdoc,Social sciences,Woman,40,Austria,
2025-11-26 11:10:40,2025-11-26 11:13:14,IP Address,100,154,True,2025-11-26 11:13:14,R_8lWAP9V9c707DHE,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,5,3,1,2,1,2,1,1,3,0,0,4,3,6,5,4,0,0,2,4,Shame because I feel like I should be further with it and I'm not working fast and efficient enough,-1,I do not enjoy the publication process and the high degree of rigorosity in academia,Lab/online research,PhD student,Social sciences,Woman,24,Austria,
2025-11-26 11:09:30,2025-11-26 11:14:02,IP Address,100,271,True,2025-11-26 11:14:02,R_8ey2ESfVVFaSTR2,anonymous,EN,Yes,Data analysis,,,6,3,4,4,4,5,1,0,4,3,4,5,5,4,4,2,0,0,0,2,interest -- curious about the results,1,satisfaction from scientific worked mixed with feelings of inadequacy and anxiety,Lab/online research,Postdoc,Social sciences,Woman,33,Austria,
2025-11-26 11:11:27,2025-11-26 11:16:41,IP Address,100,314,True,2025-11-26 11:16:41,R_2i4V3IfFp2epWgN,anonymous,EN,Yes,Data analysis,,,5,2,5,5,5,4,0,0,1,0,4,2,2,0,2,3,0,2,2,4,"Successfully running code, completing an analysis and seeing the 'fruits' of the whole research process. ",2,I am very grateful working in such an enthusiastic environment and being able to pursue a topic that I am passionate about.,Lab/online research,PhD student,Life sciences,Man,30,Austria,
2025-11-26 11:15:44,2025-11-26 11:22:56,IP Address,100,431,True,2025-11-26 11:22:56,R_2gCR0v3oBxtmR1z,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,3,1,1,2,2,2,0,0,3,1,4,4,3,3,5,1,1,1,1,5,Anger and Disappointment comes closest but doesn't quite fit - more frustrated or annoyed because things were slower and less collaborative than expected,-1,"uncertainty, pressure, lack of recognition, lack of useful output / relevance",Clinical research,PhD student,Health sciences,Non-binary / third gender / gender non-conforming,31,Austria,
2025-11-26 11:19:56,2025-11-26 11:24:27,IP Address,100,270,True,2025-11-26 11:24:27,R_2Vx4samXhAdbQ09,anonymous,EN,Yes,Data analysis,,,5,5,3,4,4,4,1,2,1,1,3,3,2,2,5,4,1,2,2,2,"null findings, very prolonged process ",1,"intersting, challenging",Lab/online research,PhD student,Social sciences,Woman,27,Austria,
2025-11-26 11:33:37,2025-11-26 11:49:05,IP Address,100,928,True,2025-11-26 11:49:06,R_8rMRrB5UBRAqQjn,anonymous,EN,Yes,Waiting for journal's response and revisions,,,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Relief: because I finalised a major and challenging revision, and I think I did a great job.",2,I love science! Passion-driven,Lab/online research,Postdoc,Social sciences,Woman,29,Germany,
2025-11-26 11:29:18,2025-11-26 11:52:33,IP Address,100,1395,True,2025-11-26 11:52:34,R_8EZDQgpY7LASWB6,anonymous,EN,Yes,Data analysis,,,7,3,3,6,6,6,4,4,6,6,0,0,0,0,0,1,0,0,0,0,,3,,Lab/online research,Postdoc,Social sciences,Man,42,Austria,
2025-11-26 12:29:44,2025-11-26 12:35:44,IP Address,100,360,True,2025-11-26 12:35:45,R_8XJcADgIh6r8jhT,anonymous,EN,Yes,Report writing,,,6,0,5,4,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Writing things up is a continuous process of discovering insights that make one interested in the work,1,The mix of freedom of knowledge pursuit and anxiety about outcomes (and job prospect),Lab/online research,PhD student,Social sciences,Man,30,Austria,
2025-11-26 11:19:00,2025-11-26 12:50:45,IP Address,100,5504,True,2025-11-26 12:50:45,R_85tJCOvryXuhgKR,anonymous,EN,Yes,Revisions,,,6,4,5,6,6,6,1,1,3,3,0,0,0,0,2,3,0,0,0,0,,3,,Lab/online research,Full professor,Social sciences,Man,51,Austria,
2025-11-26 13:29:12,2025-11-26 13:31:41,IP Address,100,148,True,2025-11-26 13:31:41,R_2iPRPlEF1v7lnZ6,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,7,4,0,6,6,5,0,0,0,6,0,0,2,0,0,0,0,0,0,0,,1,academic work pressure and low job security,Lab/online research,Postdoc,Social sciences,Woman,34,Netherlands,
2025-11-26 15:35:44,2025-11-26 15:42:43,IP Address,100,418,True,2025-11-26 15:42:43,R_8zlsebCOtq2j0t3,anonymous,EN,Yes,Report writing,,,6,5,7,7,7,7,4,5,5,3,0,1,0,1,0,0,0,0,0,0,"I felt really proud, as this is the first paper on a research line that I wanted to pursue for a long time and which has taken quite some effort and time to get to. ",2,"I love most parts of being a researcher, which is really something I feel belongs to me",Clinical research,Associate professor,Social sciences,Woman,49,Netherlands,
2025-11-26 16:00:28,2025-11-26 16:02:42,IP Address,100,133,True,2025-11-26 16:02:42,R_8erEeNabG2YykZF,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,3,4,2,5,4,3,1,2,2,4,1,2,2,1,2,2,1,1,1,3,Time pressure,0,Ups and downs,Lab/online research,Associate professor,Life sciences,Man,42,Germany,
2025-11-26 16:31:28,2025-11-26 16:38:18,IP Address,100,410,True,2025-11-26 16:38:19,R_8VLAEbxVWlRh6hP,anonymous,EN,Yes,Data collection,,,7,5,0,5,0,5,0,7,5,6,0,0,3,4,4,4,0,3,0,2,"On one hand, enjoying the data collection process and seeing how things that I had planned start to materialise make me feel excited and happy. On the other, not everything works out, I do not have access to all the people and spaces I would like to, and that makes me feel a bit scared of not being able to complete my project, or not with the quality I would like to, and also make me feel that I might be the problem because I do not know how to approach some of the people.",3,"I have great colleagues and a great team, I like what I am doing and I think my work can have a very small but also relevant impact.",Field research,PhD student,Social sciences,Woman,34,Netherlands,
2025-11-26 16:49:49,2025-11-26 16:51:59,IP Address,100,129,True,2025-11-26 16:51:59,R_2llwA24qn8Nnu86,anonymous,EN,Yes,Project genesis/ first thoughts/ idea creation,,,6,4,4,6,4,4,0,0,0,0,6,0,5,0,3,0,0,0,0,6,,2,I don't want to do other things,Lab/online research,Assistant professor,Social sciences,Woman,34,Netherlands,
2025-11-26 16:53:19,2025-11-26 16:59:18,IP Address,100,358,True,2025-11-26 16:59:18,R_20645WJWDid3QPL,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,3,2,5,3,3,3,5,3,4,2,0,5,1,4,2,0,0,2,0,5,,1,"Lack of time ",Lab/online research,Assistant professor,Social sciences,Woman,35,Turkey,
2025-11-26 17:40:59,2025-11-26 17:44:24,IP Address,100,204,True,2025-11-26 17:44:24,R_2MuDcHVQCY3UhEJ,anonymous,EN,Yes,Data collection,,,6,0,7,6,5,6,0,5,5,0,1,1,1,1,1,3,1,1,1,3,"Pride, because my students are doing an amazing work during data collection. It feels like all the supervision paid off, as they are becoming more independent",2,"Great work environment, great supervisor, nce colleagues, good work-life balance",Lab/online research,Postdoc,Life sciences,Woman,35,Germany,
2025-11-26 17:44:43,2025-11-26 17:49:21,IP Address,100,277,True,2025-11-26 17:49:21,R_2Jgx3K9aNKR3O0m,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,4,2,4,1,1,2,0,1,2,4,2,2,2,2,2,3,0,3,0,1,I feel compassion about my work and pride that I have the strength to push the project further,-1,"unequality, lack of appreciation",Clinical research,Postdoc,Life sciences,Woman,41,Germany,
2025-11-26 17:54:46,2025-11-26 18:00:30,IP Address,100,344,True,2025-11-26 18:00:31,R_2QtHJbn6glEz6Xi,anonymous,EN,Yes,Data collection,,,7,6,7,6,5,5,5,0,0,0,2,0,0,0,0,1,2,1,0,3,Pride because i have started data collection for my first project not too long ago & just checked if the data looks okay (made some simple plots) & it looks really good :),-1,I live in a foreign country & very much miss my social circle + the outlook on the job market as a researcher is horrible.,Lab/online research,PhD student,Social sciences,Woman,30,Germany,
2025-11-26 18:39:59,2025-11-26 18:47:30,IP Address,100,451,True,2025-11-26 18:47:31,R_3WjkdjClRLucJix,anonymous,EN,Yes,Report writing,,,3,2,1,2,0,0,0,1,4,4,6,6,1,3,4,7,0,5,0,6,"Fear was the feeling I felt most intensely because I was working under a tight deadline, and felt like I had no right to ask for help from my co-authors. Sometimes I didn't know if what I wrote was what the journal asked for, or made sense for the paper. Feedback I received from my principal investigator was sometimes vague or frustrating, and again, I had to work on writing under very tight deadlines",3,I feel so lucky to be able to help conduct research. I'm incredibly passionate about it and hope to make a career with it,Lab/online research,Research assistant,Social sciences,Non-binary / third gender / gender non-conforming,24,United States of America,
2025-11-26 19:44:09,2025-11-26 19:47:46,IP Address,100,216,True,2025-11-26 19:47:46,R_2yS5ZrRB3Dcbfvb,anonymous,EN,Yes,Report writing,,,6,3,2,4,4,0,0,1,2,0,6,0,0,0,1,6,1,0,2,3,,-1,A bad relation to my supervisor,Clinical research,PhD student,Social sciences,Woman,32,Denmark,
2025-11-26 20:04:37,2025-11-26 20:08:46,IP Address,100,248,True,2025-11-26 20:08:46,R_8dEVO4Qi7pt96rU,anonymous,EN,Yes,"Preparations (IRB permit, preregistration, experiment preparations)",,,5,4,5,4,4,6,3,6,2,5,1,7,5,2,4,3,1,4,1,1,,3,I like research,Lab/online research,PhD student,Life sciences,Woman,31,United Kingdom of Great Britain and Northern Ireland,
2025-11-26 20:19:43,2025-11-26 20:23:01,IP Address,100,197,True,2025-11-26 20:23:01,R_2RdSiWBUE1v1FHA,anonymous,EN,Yes,Data collection,,,7,5,7,6,5,6,6,5,4,5,0,0,0,0,1,0,0,0,0,0,,2,I can do what I love to do,Clinical research,PhD student,Health sciences,Woman,32,Germany,
2025-11-26 21:01:40,2025-11-26 21:27:48,IP Address,100,1568,True,2025-11-26 21:27:49,R_3IWAEg4Xky9qcBm,anonymous,EN,Yes,Report writing,,,6,5,7,5,5,5,6,6,4,5,5,5,6,6,5,7,6,6,1,6,"As a first-author, having the pressure of getting the manuscript finished in a timely manner",1,A lot of pressure,Lab/online research,Research assistant,Physical sciences,Woman,22,United States of America,
2025-11-26 21:39:11,2025-11-26 21:46:16,IP Address,100,425,True,2025-11-26 21:46:17,R_2aWDmbygU7sjYxm,anonymous,EN,Yes,Project genesis/ first thoughts/ idea creation,,,6,3,4,4,2,4,3,3,2,2,1,2,2,0,1,5,1,2,1,1,Promise to reach the research goals by year end. This creates the sense of urgency and the fear of failure to underperform.,2,Grant writing on own ideas,Clinical research,Postdoc,Life sciences,Man,38,Germany,
